RT_category	SampleTypev2	KEGG_category_name	KEGG_subcategory_name	KEGG_pathway_name	KO	description	gene_mean	nSampleTypes
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	K12524	bifunctional aspartokinase / homoserine dehydrogenase 1	1.163392090909091e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Lysine biosynthesis	K12524	bifunctional aspartokinase / homoserine dehydrogenase 1	1.163392090909091e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis	K12524	bifunctional aspartokinase / homoserine dehydrogenase 1	1.163392090909091e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	K12527	putative selenate reductase	1.209847466507177e-4	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12541	ATP-binding cassette, subfamily C, bacterial LapB	5.6991834093301436e-5	418
Intermediate RT	Tongue_dorsum	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	K12552	penicillin-binding protein 1	4.564682727272727e-6	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	K12552	penicillin-binding protein 1	4.564682727272727e-6	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	K12554	alanine adding enzyme	1.0721412153110048e-4	418
Intermediate RT	Tongue_dorsum	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	K12555	penicillin-binding protein 2A	1.3306710550239234e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	K12555	penicillin-binding protein 2A	1.3306710550239234e-4	418
Intermediate RT	Tongue_dorsum	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	K12556	penicillin-binding protein 2X	1.2776434306220095e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	K12556	penicillin-binding protein 2X	1.2776434306220095e-4	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	K12573	ribonuclease R	5.338130358851675e-4	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	K12574	ribonuclease J	8.28666504784689e-4	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	K12585	exosome complex exonuclease DIS3/RRP44	7.267470877990431e-6	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of other amino acids	D-Amino acid metabolism	K12658	4-hydroxyproline epimerase	4.487516172248804e-7	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	K12660	2-dehydro-3-deoxy-L-rhamnonate aldolase	8.664727272727272e-9	418
